fig_number,title,section,source_data,claim,file_exists,visual_ok,number_audit,caption_match
Fig.1,MDM offset mechanism,§2.1,formal figures/fig_offset_mechanism,delta changes search criterion,exist,OK,OK,OK
Fig.2,L1 global delta risk curve,§3.1,formal figures/fig2_delta_risk_curve,L1 optimal delta depends on beta and n,exist,OK,OK,OK
Fig.3,L2 delta by n heterogeneity,§3.1,formal figures/fig_l2_n_heterogeneity,L2 per-n improvement is minimal,exist,OK,OK,OK
Fig.4,L3-L6 oracle ladder,§3.2,formal figures/fig3_ladder,oracle hierarchy shows precision gradient,exist,OK,OK,OK
Fig.5,Vector-MLP workflow,§3.3,formal figures/fig_ch6_vector_mlp_workflow,sample-adaptive method overview,exist,OK,OK,OK
Fig.6,E4a retained-subset comparison,§3.4,manuscript/figures/fig6_feature_ablation,scale_quantile retains most of full performance,generated,OK,OK,OK
Fig.7,E4d boundary/off-grid extrapolation,§3.4,manuscript/figures/fig7_boundary_offgrid,per-track pooled J1 from summary_e4d.json,generated,OK,OK,OK
Fig.8,R2 delta upper bound audit,§3.4,manuscript/figures/fig8_upper_bound_audit,94.66 percent migration 5-bin from cohort_summary.csv,generated,OK,OK,OK
Fig.9,P6-P8 NIST real data,§3.5,manuscript/figures/fig9_real_data_comparison,NN did not outperform Default/L2 on this dataset,generated,OK,OK,OK
S1,L2 cross-fit sensitivity,Supplementary,manuscript/figures/fig_s1_crossfit,cross-fit confirms structural stability,generated,OK,OK,OK
S2,Beta-profile audit,Supplementary,manuscript/figures/fig_s2_beta_profile,local_gradient_slope by beta and n from by_beta_n.csv,generated,OK,OK,OK
S3,Three-seed stability,Supplementary,manuscript/figures/fig_s3_seed_stability,seed values from seed_stability.csv,generated,OK,OK,OK
S4,E4a by fold,Supplementary,manuscript/figures/fig_s4_ablation_folds,retained-subset structure consistent across folds,generated,OK,OK,OK
S5,E4d per-model common-sample J1,Supplementary,manuscript/figures/fig_s5_boundary_folds,15 models from by_model.csv with pooled J1 references,generated,OK,OK,OK
S6,R2 full extended distribution,Supplementary,manuscript/figures/fig_s6_upper_bound_dist,26-bin distribution from cohort_summary.csv,generated,OK,OK,OK
S7,NN 15-model per-n distribution,Supplementary,manuscript/figures/fig_s7_nn_15model_dist,per-model median D from real_holdout_results.csv,generated,OK,OK,OK
S8,Support-set violation details,Supplementary,manuscript/figures/fig_s8_support_set,violation rate by method and n,generated,OK,OK,OK
