fig_number,title,section,source_data,claim,file_exists,visual_ok,number_audit,caption_match
Fig.1,MDM offset mechanism,§2.1,E1 MC W(2,1,1)等价,δ改变搜索判据并系统性改变分布,✓,✓,✓,✓
Fig.2,L1 global delta risk curve,§3.1,E1 baseline,L1最优δ依赖β和n,✓,✓,✓,✓
Fig.3,L2 delta by n heterogeneity,§3.1,E1/E2-CF,L2按n查表提升极小,✓,✓,✓,✓
Fig.4,L3-L6 oracle ladder,§3.2,E2 oracle layers,oracle层级梯度+边际递减,✓,✓,✓,✓
Fig.5,Vector-MLP workflow,§3.3,E3b,样本自适应方法流程图,✓,✓,✓,✓
Fig.6,Feature ablation,§3.4,E4a,spread特征组贡献最大,✓,需检查,✓,待补充
Fig.7,Boundary/off-grid extrapolation,§3.4,E4d/R1,boundary外推退化,未生成,未生成,待生成,待补充
Fig.8,Delta upper bound audit,§3.4,R2,94.66%迁移至δ>0.50,未生成,未生成,待生成,待补充
Fig.9,Real data comparison,§3.5,P6-P8,NN未优于Default/L2,未生成,未生成,待生成,待补充
S1,Cross-fit sensitivity,§3.1-3.2,E1/E2-CF,层级收益非择优偏差,未生成,未生成,待生成,待补充
S2,Beta-profile audit,§3.2,E2 beta profile,β驱动profile几何,未生成,未生成,待生成,待补充
S3,Three-seed stability,§3.3,E3b,三seed J₁±0.003,未生成,未生成,待生成,待补充
S4,Ablation by fold,§3.4,E4a,fold间消融结构一致,未生成,未生成,待生成,待补充
S5,Boundary by fold/seed,§3.4,E4d,外推退化跨模型一致,未生成,未生成,待生成,待补充
S6,Upper bound distribution,§3.4,R2,新最优右偏分布,未生成,未生成,待生成,待补充
S7,NN 15-model distribution,§3.5,P6-P8,45个model-median完整分布,未生成,未生成,待生成,待补充
S8,Support-set details,§3.5,P6-P8,违规率跨方法比较,未生成,未生成,待生成,待补充
